Fylkenummer;Fylkenavn;Kommunenummer;Kommunenavn;Stemmekretsnummer;Stemmekretsnavn;Antall stemmeberettigede;Godkjente stemmegivninger — Forhånd;Godkjente stemmegivninger - Valgting;Godkjente stemmegivninger - Totalt;Forkastede stemmegivninger - Forhånd;Forkastede stemmegivninger - Totalt;Godkjente stemmesedler - Forhånd;Godkjente stemmesedler - Valgting;Godkjente stemmesedler - Totalt;Forkastede stemmesedler - Forhånd;Forkastede stemmesedler - Totalt;Blanke stemmesedler - Forhånd;Blanke stemmesedler - Totalt;
01;Østfold;0101;Halden;;;24331;2143;11744;13887;0;15;2133;11736;13869;14;36;22;183;
01;Østfold;0104;Moss;;;25362;2762;12269;15031;1;13;2727;12234;14961;28;32;17;115;
01;Østfold;0105;Sarpsborg;;;42905;3805;18504;22309;5;15;3781;18447;22228;15;45;24;164;
01;Østfold;0106;Fredrikstad;;;62398;5839;27685;33524;0;43;5825;27572;33397;6;20;39;314;
01;Østfold;0111;Hvaler;;;3701;473;2013;2486;0;5;470;2002;2472;3;3;4;22;
01;Østfold;0118;Aremark;;;1122;99;697;796;0;0;99;694;793;0;1;0;4;
01;Østfold;0119;Marker;;;3070;348;1580;1928;1;2;348;1580;1928;0;2;1;21;
01;Østfold;0121;Rømskog;;;551;69;361;430;0;0;69;361;430;0;0;2;7;
01;Østfold;0122;Trøgstad;;;4212;444;1967;2411;0;0;442;1962;2404;0;2;10;34;
01;Østfold;0123;Spydeberg;;;4392;420;2217;2637;0;0;419;2215;2634;1;5;1;11;
01;Østfold;0124;Askim;;;12234;1644;4939;6583;0;0;1638;4920;6558;10;15;15;59;
01;Østfold;0125;Eidsberg;;;8930;887;3896;4783;0;6;879;3877;4756;5;12;12;60;
01;Østfold;0127;Skiptvet;;;2847;269;1410;1679;0;0;269;1406;1675;0;0;2;17;
01;Østfold;0128;Rakkestad;;;6289;441;2958;3399;0;6;435;2932;3367;5;7;1;27;
01;Østfold;0135;Råde;;;5751;512;3118;3630;0;9;511;3108;3619;2;9;1;28;
01;Østfold;0136;Rygge;;;12082;1249;5639;6888;0;1;1236;5569;6805;12;41;0;27;
01;Østfold;0137;Våler;;;3876;243;2051;2294;0;0;246;2044;2290;0;0;0;24;
01;Østfold;0138;Hobøl;;;4104;287;2671;2958;0;5;286;2053;2339;1;1;2;24;
02;Akershus;0211;Vestby;;;12414;1426;6535;7961;0;0;1411;6438;7849;19;29;6;49;
02;Akershus;0213;Ski;;;22617;2612;11672;14284;4;13;2605;11645;14250;10;12;14;71;
02;Akershus;0214;Ås;;;13752;1387;6839;8226;0;7;1386;6806;8192;8;19;7;61;
02;Akershus;0215;Frogn;;;12300;1921;6156;8077;0;2;1913;6147;8060;8;14;10;55;
